id,length,stage_name,type
229,182.0,NOALEBIBIONE_2016,flat
230,227.0,MODENAASOLO_2016,hills_flat
231,219.0,CAMPIBISENZIOSESTOLA_2016,mountains_uphill
232,40.5,CHIANTICHIANTI_2016,hills_flat
233,186.0,FOLIGNOAREZZO_2016,hills_uphill
234,211.0,SULMONAFOLIGNO_2016,hills_flat
235,157.0,PONTEROCCARASOAREMOGNA_2016,mountains_uphill
236,233.0,PRAIAAMAREBENEVENTO_2016,hills_uphill
237,200.0,CATANZAROPRAIAAMARE_2016,hills_flat
238,190.0,NIJMEGENARNHEM_2016,flat
239,190.0,ARNHEMNIJMEGEN_2016,flat
240,9.8,APELDOORNAPELDOORN_2016,flat
241,160.9,MALèCLES_2016,mountains_flat
242,204.6,SILLIANMEZZOLOMBARDO_2016,mountains_flat
243,220.0,ARCOANRAS_2016,mountains_uphill
244,12.1,RIVATORBOLE_2016,flat
245,211.1,ZOTTEGEMKOKSIJDE_2016,hills_flat
246,198.2,DEPANNEZOTTEGEM_2016,hills_flat
201,21.0,ALHAURíNDELATORREALHAURíNDELATORRE_2016,hills_uphill
202,157.9,MONACHILPADUL_2016,hills_flat
203,186.3,PALOMARESDELRíOCóRDOBA_2016,hills_flat
204,165.2,ALMONASTERLAREALSEVILLA_2016,hills_flat
247,137.0,DUBAIBURJKHALIFA_2016,flat
248,172.0,DUBAIHATTADAM_2016,hills_uphill
249,183.0,DUBAIPALMJUMEIRAH_2016,flat
250,173.0,DUBAIFUJAIRAH_2016,hills_flat
1,115.0,ALBERTVILLEPLATEAUDESOLAISON_2017,mountains_uphill
2,167.5,AOSTEALPEDHUEZ_2017,mountains_uphill
3,145.5,PARCDESOISEAUXVILLARSLESDOMBESLAMOTTESERVOLEX_2017,mountains_flat
4,175.0,LATOURDESALVAGNYMâCON_2017,hills_flat
5,23.5,LATOURDUPINBOURGIONJALIEU_2017,flat
6,184.0,LECHAMBONSURLIGNONTULLINS_2017,hills_flat
7,171.0,SAINTCHAMONDARLANC_2017,hills_flat
8,170.0,SAINTÉTIENNESAINTÉTIENNE_2017,hills_flat
99,27.7,EIBAREIBAR_2017,hills_flat
100,139.8,BILBOEIBAR_2017,mountains_uphill
101,174.1,DONOSTIABILBO_2017,mountains_flat
102,160.5,GASTEIZDONOSTIA_2017,mountains_flat
103,173.4,PAMPLONAELTZIEGO_2017,mountains_flat
104,153.3,PAMPLONAEGUESIBARSARRIGUREN_2017,hills_flat
159,10.05,SANBENEDETTODELTRONTOSANBENEDETTODELTRONTO_2017,flat
160,168.0,ASCOLIPICENOCIVITANOVAMARCHE_2017,hills_flat
161,209.0,RIETIFERMO_2017,hills_uphill
162,171.0,MONTALTODICASTROTERMINILLO_2017,mountains_uphill
163,204.0,MONTEROTONDOMARITTIMOMONTALTODICASTRO_2017,flat
164,229.0,CAMAIOREPOMARANCE_2017,hills_uphill
165,22.7,LIDODICAMAIORELIDODICAMAIORE_2017,flat
251,179.2,LOULéMALHãO_2017,hills_uphill
252,203.4,ALMODôVARTAVIRA_2017,hills_flat
253,18.0,SAGRESSAGRES_2017,flat
254,189.3,LAGOAALTODAFóIA_2017,hills_uphill
255,182.9,ALBUFEIRALAGOS_2017,hills_flat
256,51.2,VALENCIAVALENCIA_2017,hills_flat
171,180.0,SEGORBELLUCENA_2017,mountains_uphill
172,161.0,CANALSRIBAROJADETúRIA_2017,hills_uphill
173,180.6,ALICANTEDENIA_2017,hills_flat
174,37.9,ORIHUELAORIHUELA_2017,hills_flat
257,143.0,ABUDHABIABUDHABI_2016,flat
258,150.0,ALAINJEBELHAFEET_2016,mountains_uphill
257,143.0,ABUDHABIABUDHABI_2016,flat
259,147.0,MADINATZAYEDMADINATZAYED_2016,flat
260,185.2,RIEMSTLANAKEN_2016,hills_flat
261,20.9,SITTARDGELEENSITTARDGELEEN_2016,flat
262,201.4,AALTERSTPIETERSLEEUW_2016,flat
175,182.3,BLANKENBERGEARDOOIE_2016,flat
176,9.6,BREDABREDA_2016,flat
177,184.7,BOLSWARDBOLSWARD_2016,flat
42,163.2,MONFORTEDELEMOSLUINTRARIBERASACRA_2016,hills_flat
43,171.3,VIVEIROLUGO_2016,hills_flat
44,163.5,BETANZOSSANANDRÃSDETEIXIDO_2016,hills_uphill
